player,phase,total_innings,high_pressure_innings,low_pressure_innings,pts,high_dismissal_rate,low_dismissal_rate,sr_delta,high_pressure_sr,low_pressure_sr,boundary_delta,high_pressure_boundary_pct,low_pressure_boundary_pct,overall_sr,overall_dismissal_rate,overall_dot_density,cluster,archetype,archetype_color
Mohammad Naim,PP,24,5,19,0.76,0.2,0.2632,-13.05,90.16,103.21,-0.0097,0.1261,0.1358,100.49,0.25,0.4639,1,Composed Accumulator,#2ecc71
BA King,PP,39,6,33,1.375,0.3333,0.2424,-45.11,99.38,144.49,-0.0701,0.1739,0.244,137.55,0.2564,0.4245,3,Explosive Aggressor,#3498db
H Madavi,PP,29,12,17,1.417,0.1667,0.1176,-12.36,79.71,92.07,0.0159,0.1214,0.1055,86.95,0.1379,0.5077,1,Composed Accumulator,#2ecc71
RD Gaikwad,PP,64,6,58,2.636,0.5,0.1897,-40.4,89.77,130.17,-0.0341,0.1551,0.1892,126.39,0.2188,0.3918,3,Explosive Aggressor,#3498db
DP Conway,PP,50,5,45,2.571,0.4,0.1556,-35.09,86.67,121.76,-0.0586,0.1236,0.1822,118.25,0.18,0.3837,3,Explosive Aggressor,#3498db
RG Mukasa,PP,23,6,17,1.417,0.5,0.3529,-57.27,72.47,129.74,-0.0982,0.1062,0.2044,114.8,0.3913,0.4519,4,Pressure Vulnerable,#e74c3c
Aasif Sheikh,PP,45,7,38,1.81,0.4286,0.2368,-41.84,88.47,130.32,-0.0461,0.1523,0.1984,123.81,0.2667,0.4314,3,Explosive Aggressor,#3498db
K Bhurtel,PP,41,6,35,0.897,0.3333,0.3714,-55.18,79.87,135.04,-0.0777,0.1356,0.2134,126.97,0.3659,0.4577,4,Pressure Vulnerable,#e74c3c
Q Abel,PP,27,8,19,2.375,0.5,0.2105,-24.67,73.78,98.45,-0.0218,0.1149,0.1366,91.14,0.2963,0.4881,1,Composed Accumulator,#2ecc71
T Marumani,PP,33,6,27,2.813,0.8333,0.2963,-54.35,75.82,130.17,-0.0778,0.1271,0.205,120.29,0.3939,0.4265,4,Pressure Vulnerable,#e74c3c
D Ndikubwimana,PP,43,18,25,3.819,0.6111,0.16,-53.42,50.28,103.71,-0.0648,0.0707,0.1355,81.34,0.3488,0.5348,0,Steady Anchor,#34495e
E Dusingizimana,PP,30,8,22,1.719,0.625,0.3636,-43.99,80.38,124.37,-0.0539,0.1252,0.1791,112.64,0.4333,0.4709,1,Composed Accumulator,#2ecc71
O Tuyisenge,PP,25,7,18,0.735,0.2857,0.3889,-60.65,63.68,124.33,-0.0669,0.1143,0.1812,107.35,0.36,0.4818,4,Pressure Vulnerable,#e74c3c
L Bruce,PP,25,6,19,2.533,0.6667,0.2632,-38.73,55.72,94.45,-0.0567,0.0681,0.1248,85.16,0.36,0.4589,1,Composed Accumulator,#2ecc71
S Mtae,PP,28,5,23,1.15,0.4,0.3478,-39.64,60.26,99.9,-0.0686,0.0634,0.132,92.82,0.3571,0.4132,1,Composed Accumulator,#2ecc71
S Sesazi,PP,47,13,34,1.495,0.3077,0.2059,-47.62,79.03,126.65,-0.0669,0.1347,0.2016,113.48,0.234,0.4621,4,Pressure Vulnerable,#e74c3c
MLN Sissako,PP,15,9,6,2.667,0.4444,0.1667,-23.86,35.06,58.92,-0.0047,0.0435,0.0482,44.6,0.3333,0.6285,1,Composed Accumulator,#2ecc71
RN Patel,PP,23,5,18,1.8,0.6,0.3333,-22.66,92.46,115.12,-0.0063,0.1566,0.1628,110.2,0.3913,0.4673,1,Composed Accumulator,#2ecc71
VR Iyer,PP,24,5,19,1.9,0.6,0.3158,-92.71,51.3,144.01,-0.1825,0.0496,0.2322,124.7,0.375,0.4499,4,Pressure Vulnerable,#e74c3c
Abhishek Sharma,PP,59,6,53,2.208,0.8333,0.3774,-95.55,83.59,179.14,-0.1576,0.1448,0.3025,169.43,0.4237,0.358,2,Pressure Collapser,#9b59b6
Waseem Muhammad,PP,54,7,47,3.357,0.7143,0.2128,-76.89,68.3,145.19,-0.1336,0.0962,0.2298,135.23,0.2778,0.4116,4,Pressure Vulnerable,#e74c3c
SK Awiah,PP,15,9,6,4.0,0.6667,0.1667,-36.67,47.74,84.41,-0.0468,0.0549,0.1017,62.41,0.4667,0.5816,0,Steady Anchor,#34495e
D Kansonkho,PP,18,7,11,3.143,0.5714,0.1818,-32.31,67.19,99.5,-0.0212,0.1064,0.1276,86.93,0.3333,0.5191,0,Steady Anchor,#34495e
KH Prajapati,PP,27,11,16,2.424,0.9091,0.375,-32.29,83.21,115.5,-0.0127,0.1493,0.162,102.35,0.5926,0.499,1,Composed Accumulator,#2ecc71
Azyan Farhath,PP,24,9,15,3.333,0.4444,0.1333,-33.17,49.3,82.47,-0.0299,0.0594,0.0892,70.03,0.25,0.5192,0,Steady Anchor,#34495e
II Selemani,PP,31,5,26,0.945,0.4,0.4231,-64.91,95.65,160.56,-0.1318,0.1541,0.2859,150.09,0.4194,0.4362,4,Pressure Vulnerable,#e74c3c
AR Patwa,PP,36,11,25,1.515,0.3636,0.24,-45.98,85.49,131.46,-0.0759,0.1443,0.2201,117.41,0.2778,0.4609,4,Pressure Vulnerable,#e74c3c
M Taylor,PP,20,9,11,1.833,0.6667,0.3636,-45.0,43.49,88.48,-0.0985,0.0442,0.1426,68.23,0.5,0.5765,1,Composed Accumulator,#2ecc71
Theertha Satish,PP,45,10,35,5.25,0.3,0.0571,-34.89,74.2,109.09,-0.032,0.1216,0.1536,101.34,0.1111,0.4602,0,Steady Anchor,#34495e
N Choden,PP,21,8,13,0.271,0.125,0.4615,-22.86,39.07,61.93,-0.0187,0.0337,0.0523,53.22,0.3333,0.5569,1,Composed Accumulator,#2ecc71
