player,phase,total_innings,high_pressure_innings,low_pressure_innings,pts,high_dismissal_rate,low_dismissal_rate,sr_delta,high_pressure_sr,low_pressure_sr,boundary_delta,high_pressure_boundary_pct,low_pressure_boundary_pct,overall_sr,overall_dismissal_rate,overall_dot_density
SE Rutherford,Death,22,4,18,1.35,0.75,0.5556,-97.85,76.9,174.76,-0.1504,0.092,0.2424,156.97,0.5909,0.291
N McAndrew,Death,15,3,12,4.0,1.0,0.25,-100.09,96.67,196.76,-0.1201,0.1667,0.2867,176.74,0.4,0.2692
NCR Larkin,Death,15,3,12,1.0,0.3333,0.3333,-42.9,100.99,143.9,-0.0548,0.1111,0.1659,135.31,0.3333,0.2446
DS Airee,Death,29,4,25,2.273,1.0,0.44,-112.12,100.96,213.08,-0.1737,0.1219,0.2956,197.61,0.5172,0.2463
WK Dilhari,Death,15,5,10,1.5,0.6,0.4,-57.4,78.98,136.38,-0.0298,0.0952,0.1251,117.24,0.4667,0.3142
Fayyaz Butt,Death,11,5,6,1.8,0.6,0.3333,-83.58,55.64,139.22,-0.1154,0.0489,0.1644,101.23,0.4545,0.388
Sandeep Goud,Death,12,5,7,1.4,0.8,0.5714,-112.49,44.72,157.22,-0.1587,0.025,0.1837,110.34,0.6667,0.4059
Siow Tzin Yee,Death,11,4,7,5.25,0.75,0.1429,-79.94,51.14,131.08,-0.1007,0.0278,0.1285,102.01,0.3636,0.3616
RC Belbashi,Death,18,4,14,1.4,0.5,0.3571,-55.53,93.65,149.18,-0.0665,0.1184,0.1849,136.84,0.3889,0.3004
Mariamma Hyder,Death,11,7,4,,0.2857,0.0,-68.83,42.83,111.66,-0.0542,0.0318,0.086,67.86,0.1818,0.5257
S Dube,Death,36,4,32,2.462,1.0,0.4062,-68.1,100.18,168.29,-0.0734,0.1456,0.219,160.72,0.4722,0.2415
A Mokgotlhe,Death,14,4,10,1.25,0.25,0.2,-65.69,87.63,153.32,-0.0912,0.1244,0.2156,134.56,0.2143,0.3233
T Shadrack,Death,13,7,6,1.714,0.5714,0.3333,-28.47,39.3,67.78,-0.0032,0.0119,0.0151,52.44,0.4615,0.4916
AS Joseph,Death,13,5,8,3.2,0.4,0.125,-21.45,87.68,109.12,-0.0086,0.103,0.1116,100.87,0.2308,0.3699
R Parag,Death,26,4,22,1.692,1.0,0.5909,-51.77,121.1,172.88,-0.0603,0.1724,0.2327,164.91,0.6538,0.26
SM Curran,Death,35,7,28,1.714,0.8571,0.5,-105.39,63.13,168.52,-0.1636,0.0585,0.2221,147.44,0.5714,0.2739
J Nkomo,Death,18,7,11,3.929,0.7143,0.1818,-60.24,58.75,118.98,-0.0167,0.078,0.0946,95.56,0.3889,0.3632
RK Singh,Death,36,6,30,2.083,0.8333,0.4,-93.54,107.87,201.41,-0.1422,0.168,0.3103,185.82,0.4722,0.2505
I van Zyl,Death,10,4,6,0.75,0.25,0.3333,-41.38,45.29,86.67,-0.0611,0.0,0.0611,70.12,0.3,0.4336
JA Diergaardt,Death,14,5,9,1.8,0.4,0.2222,-35.19,86.78,121.97,-0.0654,0.0823,0.1476,109.4,0.2857,0.3666
H Ishimwe,Death,16,4,12,0.75,0.25,0.3333,-74.17,68.45,142.62,-0.1103,0.0536,0.1638,124.08,0.3125,0.3015
A Ikuzwe,Death,14,3,11,2.444,0.6667,0.2727,-24.32,71.52,95.83,-0.0225,0.0556,0.0781,90.62,0.3571,0.3381
W Mwatile,Death,22,10,12,2.7,0.9,0.3333,-102.99,60.14,163.13,-0.1242,0.071,0.1952,116.32,0.5909,0.3855
JJ Smit,Death,27,6,21,1.167,0.5,0.4286,-72.07,110.87,182.94,-0.0993,0.1464,0.2457,166.92,0.4444,0.2542
KS Bagabena,Death,10,5,5,2.0,0.4,0.2,-69.82,44.88,114.7,-0.0604,0.0,0.0604,79.79,0.3,0.4215
SA Okpe,Death,19,6,13,2.6,1.0,0.3846,-99.81,46.69,146.5,-0.1418,0.0185,0.1603,114.98,0.5789,0.3238
LN Oluoch,Death,16,4,12,2.4,1.0,0.4167,-46.21,78.19,124.41,-0.0232,0.1236,0.1468,112.85,0.5625,0.3947
