batter,0_dots,1_dots,2_dots,3_dots,4_dots,5+_dots,balls_faced,dismissal_rate_pct
D Ajekun,3.53356890459364,7.03125,3.3333333333333335,19.230769230769234,5.555555555555555,0.0,534,5.056179775280898
R Obuya,5.063291139240507,6.086956521739131,5.660377358490567,0.0,0.0,0.0,533,4.878048780487805
MG Neser,6.870229007633588,3.260869565217391,6.451612903225806,0.0,20.0,50.0,532,6.390977443609022
Ayan Khan,4.774535809018567,6.862745098039216,2.7777777777777777,9.090909090909092,0.0,0.0,531,5.084745762711865
MV Waldron,5.5045871559633035,6.779661016949152,2.5,16.666666666666664,0.0,5.88235294117647,531,5.83804143126177
J Mees,3.7463976945244957,3.6036036036036037,5.263157894736842,6.25,0.0,0.0,529,3.780718336483932
Mohammad Nawaz,5.167958656330749,6.122448979591836,0.0,11.11111111111111,0.0,,529,5.103969754253308
M Labuschagne,4.260651629072681,5.555555555555555,4.0,22.22222222222222,0.0,0.0,528,4.734848484848484
MO Kitunda,5.211726384364821,7.017543859649122,7.547169811320755,10.344827586206897,0.0,0.0,527,5.88235294117647
F Samanyika,4.149377593360995,1.5873015873015872,4.411764705882353,8.571428571428571,0.0,0.0,526,3.4220532319391634
A Ashokan,2.989130434782609,2.912621359223301,0.0,0.0,0.0,0.0,525,2.666666666666667
S Dharnidharka,4.242424242424243,2.727272727272727,9.75609756097561,0.0,9.090909090909092,13.333333333333334,525,4.571428571428571
SSM Stanislaus,4.191616766467066,5.6000000000000005,7.6923076923076925,0.0,0.0,0.0,525,4.571428571428571
Kyshona A Knight,6.25,3.8461538461538463,3.9215686274509802,4.3478260869565215,0.0,0.0,524,5.152671755725191
CNIM Joyce,3.169014084507042,3.10077519379845,3.0303030303030303,10.0,0.0,0.0,523,3.4416826003824093
LS Greenway,2.608695652173913,3.508771929824561,0.0,0.0,0.0,0.0,523,2.48565965583174
P Baron,4.823151125401929,2.898550724637681,3.8461538461538463,0.0,0.0,0.0,522,4.022988505747127
N Wadhera,4.864864864864865,4.672897196261682,3.225806451612903,0.0,0.0,,522,4.597701149425287
L Lamin,4.3478260869565215,3.361344537815126,1.8181818181818181,4.3478260869565215,0.0,7.142857142857142,521,3.8387715930902107
MLN Sissako,5.0,3.2520325203252036,1.6129032258064515,2.7777777777777777,0.0,8.823529411764707,521,4.030710172744722
BJ Dwarshuis,7.804878048780488,5.952380952380952,5.88235294117647,0.0,0.0,0.0,521,7.293666026871401
B George,4.3604651162790695,3.4482758620689653,0.0,10.0,0.0,25.0,519,4.046242774566474
Thuya Aung,6.694560669456067,3.3057851239669422,1.5873015873015872,2.5,0.0,0.0,518,4.247104247104247
M Shahrukh Khan,6.068601583113456,3.225806451612903,7.6923076923076925,11.11111111111111,0.0,0.0,517,5.609284332688588
PM Seelaar,5.10752688172043,5.825242718446602,3.7037037037037033,0.0,50.0,0.0,516,5.426356589147287
GD Arta,6.418918918918918,2.4193548387096775,2.0408163265306123,4.166666666666666,0.0,0.0,515,4.660194174757281
I Niyomugabo,3.343465045592705,4.587155963302752,0.0,0.0,0.0,0.0,515,3.1067961165048543
TK Curran,5.808080808080808,3.4090909090909087,5.0,0.0,0.0,,513,5.263157894736842
T Zangmo,2.7450980392156863,3.225806451612903,5.555555555555555,0.0,0.0,2.7777777777777777,513,2.923976608187134
A Limdawala,7.317073170731707,0.8,1.9607843137254901,8.333333333333332,6.666666666666667,0.0,513,5.0682261208577
Raghav Dhawan,2.7607361963190185,4.672897196261682,0.0,6.25,0.0,10.0,512,3.125
M Mwatile,4.946996466431095,4.0,14.035087719298245,3.7037037037037033,0.0,0.0,512,5.46875
Shashank Singh,2.75,3.8461538461538463,4.761904761904762,0.0,0.0,0.0,510,2.941176470588235
MJ Richardson,3.2448377581120944,3.5398230088495577,2.857142857142857,8.333333333333332,0.0,0.0,510,3.3333333333333335
M Corazon,3.257328990228013,4.838709677419355,2.127659574468085,5.263157894736842,14.285714285714285,0.0,509,3.732809430255403
GE Plimmer,4.790419161676647,4.958677685950414,10.81081081081081,0.0,0.0,0.0,508,5.118110236220472
M Podosky,5.442176870748299,5.691056910569105,1.9230769230769231,11.11111111111111,0.0,0.0,508,5.118110236220472
O Kgeresi,3.3333333333333335,4.6875,3.4482758620689653,7.142857142857142,20.0,0.0,507,4.142011834319527
A Ikuzwe,4.605263157894736,3.5398230088495577,0.0,0.0,0.0,0.0,505,3.564356435643564
D Ramdin,6.267029972752043,6.382978723404255,0.0,0.0,0.0,0.0,502,5.776892430278884
CT Dhururu,4.2105263157894735,4.201680672268908,3.8461538461538463,4.761904761904762,0.0,0.0,502,3.9840637450199203
D Doyle-Calle,5.294117647058823,2.1052631578947367,3.571428571428571,0.0,11.11111111111111,5.555555555555555,502,4.581673306772909
B Shanti,6.296296296296296,3.076923076923077,1.7543859649122806,0.0,0.0,0.0,501,4.39121756487026
TR Birt,6.2857142857142865,2.8846153846153846,6.0606060606060606,11.11111111111111,0.0,0.0,501,5.588822355289421
A Mansale,3.45821325648415,5.405405405405405,3.7037037037037033,0.0,0.0,0.0,500,3.8
J Nkomo,3.205128205128205,1.6666666666666667,7.6923076923076925,5.88235294117647,0.0,0.0,500,3.2
C Madande,4.504504504504505,2.0202020202020203,15.384615384615385,11.11111111111111,0.0,0.0,499,5.01002004008016
Manan Ali,5.163043478260869,4.597701149425287,10.344827586206897,0.0,0.0,33.33333333333333,499,5.410821643286573
S Mosweu,3.942652329749104,5.263157894736842,1.9230769230769231,3.7037037037037033,0.0,0.0,499,3.807615230460922
C Uwase,5.0359712230215825,6.451612903225806,10.344827586206897,8.695652173913043,0.0,0.0,498,6.024096385542169
V Sibanda,5.263157894736842,3.3057851239669422,4.166666666666666,6.666666666666667,0.0,0.0,498,4.618473895582329
B Cooper,5.681818181818182,5.88235294117647,1.9230769230769231,10.0,0.0,0.0,497,5.23138832997988
A Lister,7.547169811320755,7.339449541284404,0.0,5.88235294117647,0.0,0.0,496,6.653225806451612
Arjun Vinod,3.205128205128205,6.25,2.3255813953488373,0.0,0.0,0.0,496,3.6290322580645165
YSD Seneveratne,3.146853146853147,5.172413793103448,4.0,4.166666666666666,0.0,0.0,495,3.6363636363636362
RW Chakabva,6.876790830945559,8.080808080808081,0.0,28.57142857142857,33.33333333333333,0.0,494,7.08502024291498
BYA Mendis,6.691449814126393,4.6875,6.896551724137931,8.695652173913043,0.0,0.0,493,6.085192697768763
Pyae Phyo Wai,5.172413793103448,6.25,8.0,0.0,0.0,14.285714285714285,492,5.487804878048781
Bilal Tahir,5.070422535211268,6.185567010309279,3.225806451612903,0.0,0.0,,492,5.08130081300813
V Ganesan,3.571428571428571,5.405405405405405,6.0606060606060606,0.0,0.0,,491,4.0733197556008145
N Navaika,3.1746031746031744,3.3057851239669422,3.6363636363636362,0.0,7.6923076923076925,4.761904761904762,490,3.2653061224489797
CMA Shillington,6.093189964157706,5.0,2.0408163265306123,9.523809523809524,7.142857142857142,0.0,489,5.521472392638037
TWM Latham,2.3323615160349855,7.8431372549019605,3.125,10.0,0.0,,488,3.6885245901639343
IMHC Joyce,4.964539007092199,3.571428571428571,0.0,0.0,0.0,42.857142857142854,488,4.30327868852459
Jaspal Singh,4.651162790697675,7.2727272727272725,2.4390243902439024,5.0,0.0,0.0,488,4.918032786885246
W Hornero-Garcia,3.4013605442176873,0.9708737864077669,4.761904761904762,4.761904761904762,0.0,0.0,487,2.8747433264887063
M Manhas,3.2835820895522385,3.0303030303030303,11.76470588235294,0.0,0.0,0.0,486,3.7037037037037033
T Banton,6.997084548104956,5.376344086021505,0.0,7.6923076923076925,0.0,,486,6.172839506172839
Iram Javed,6.390977443609022,7.017543859649122,10.0,0.0,7.6923076923076925,12.5,486,6.995884773662551
A Doddaballapur,2.3890784982935154,2.912621359223301,4.878048780487805,9.090909090909092,0.0,0.0,486,2.880658436213992
Talha Khan,4.838709677419355,2.727272727272727,2.7777777777777777,0.0,0.0,0.0,485,3.917525773195876
J Singye,4.6263345195729535,3.508771929824561,6.122448979591836,0.0,0.0,0.0,485,4.123711340206185
MJ Owen,6.388888888888888,6.382978723404255,5.0,0.0,0.0,0.0,484,6.198347107438017
Muhammad Amir,7.29483282674772,5.263157894736842,5.555555555555555,0.0,20.0,0.0,482,6.639004149377594
